,news,source
0," ಮುಂಬೈ ಮುಂಗಾರಿನಿಂದ ಅಪಘಾತ, ಇದು ನಿಜವೇ? ",oneindia
1, ನಿಮ್ಮ ಫಾಸ್ಟ್‌ಟ್ಯಾಗ್‌ನಿಂದ ಹಣ ಕಳ್ಳತನ ,oneindia
2, ಮಳೆಯಲ್ಲಿ ಫೋನ್‌ಗಳನ್ನು ಬಳಸುವುದು ಸುರಕ್ಷಿತವಲ್ಲ?,oneindia
3, ರಾಷ್ಟ್ರಪತಿ ಅಭ್ಯರ್ಥಿ ದ್ರೌಪದಿ ಮುರ್ಮು ಟ್ವಿಟರ್‌ನಲ್ಲಿದ್ದಾರಾ? ,oneindia
4, ಟ್ವಿಟರ್ ಬಯೋದಿಂದ 'ಸಚಿವ' ಎಂಬ ಪದ ತೆಗೆದ ಆದಿತ್ಯ ಠಾಕ್ರೆ? ,oneindia
5, ಯೂಟ್ಯೂಬ್ ವಿಡಿಯೋ ಸುಳ್ಳು ಹೇಳಿಕೆ ಬಗ್ಗೆ ಎಚ್ಚರದಿಂದಿರಿ,oneindia
6, 'ತಮಿಳುನಾಡಿನಲ್ಲಿ ಕಮಲ ಅರಳುತ್ತಿದೆ' ಫೋಟೋದ ಸತ್ಯಾಸತ್ಯತೆ ಏನು? ,oneindia
7, ಈ ವ್ಯಕ್ತಿ ಪ್ರೌಢಶಾಲೆಯಲ್ಲಿ 26 ಬಾರಿ ಫೇಲ್ ಆಗಿದ್ದಾನೆ,oneindia
8, ಮಾಡರ್ನಾ ಲಸಿಕೆಯಲ್ಲಿ ಕೀಟನಾಶಕಗಳಿವೆಯೇ? ಸತ್ಯಾಸತ್ಯತೆ ತಿಳಿಯಿರಿ,oneindia
9, 'ಕ್ಯಾನ್ಸಲ್' ಬಟನ್ ಒತ್ತಿದರೆ ಎಟಿಎಂ ಪಿನ್ ರಕ್ಷಿಸಬಹುದಾ?,oneindia
10," ಸರಕಾರದಿಂದ ಪ್ರತಿಯೊಬ್ಬರಿಗೂ 30,628 ರೂ ಸಿಗುವುದು ನಿಜವಾ? ",oneindia
11, ನೈನಿತಾಲ್‌ನ ನಕಲಿ ಫೋಟೋ ಹಂಚಿಕೆ ,oneindia
12, ಅಸ್ಸಾಂ ಪ್ರವಾಹದ ನಡುವೆ ತೇಲುವ ಹಾಸಿಗೆಯ ಮೇಲೆ ವ್ಯಕ್ತಿ ಮಲಗಿದ್ದಾರಾ?,oneindia
13, ಕಾಂಗ್ರೆಸ್ ಚಿಂತನ ಶಿಬಿರದ ಅಲಂಕಾರಕ್ಕೆ ಪಾಕಿಸ್ತಾನದ ಧ್ವಜದ ಬಣ್ಣ ಬಳಕೆ? ,oneindia
14, ಗಾಳಿಗೆ ಹಾರಿದ ಕ್ಯಾಂಟೀನ್ ಉಪಕರಣಗಳ ವಿಡಿಯೋ ತಪ್ಪಾಗಿ ಗ್ರಹಿಕೆ,oneindia
15, ರಾಜಸ್ಥಾನ ಸರ್ಕಾರ 8 ಮುಸ್ಲಿಮರನ್ನು ಬರಿಗಾಲಲ್ಲಿ ಕರೆದೊಯ್ದಿದ್ದು ಸತ್ಯವೇ? ,oneindia
16, ಫ್ರಾನ್ಸ್‌ ಬೀದಿಯಲ್ಲಿ ಈದ್ ಪ್ರಾರ್ಥನೆ ಹಿಂದಿನ ಸತ್ಯವೇನು? ,oneindia
17," 10,100 ರೂ. ಜಮೆ ಮಾಡಿದರೆ ನಿಮ್ಮ ಖಾತೆಗೆ ಬರುತ್ತಾ 30 ಲಕ್ಷ?",oneindia
18,"NEET PG 2022, ಸ್ನಾತಕೋತ್ತರ ರಾಷ್ಟ್ರೀಯ ಅರ್ಹತೆ ಮತ್ತು ಪ್ರವೇಶ ಪರೀಕ್ಷೆ ಬಗ್ಗೆ ನಕಲಿ ಸುದ್ದಿ",oneindia
19, ಭಾರತದ ಹಣದಿಂದ ಜಲಫಿರಂಗಿ ಖರೀದಿಸಿದ ಶ್ರೀಲಂಕಾ? ಇದು ಸತ್ಯವೇ,oneindia
20, ಸರ್ಕಾರ 3 ತಿಂಗಳವರೆಗೆ ಉಚಿತ ಇಂಟರ್ನೆಟ್ ನೀಡುತ್ತಿದೆ?,oneindia
21, ಮೋದಿ ಜರ್ಮನ್ ಭೇಟಿ ವೇಳೆ ಚಾನ್ಸೆಲರ್ ಕಚೇರಿಯಲ್ಲಿ ನೆಹರೂ ಫೋಟೋ? ,oneindia
22, 18 ರಿಂದ 40 ವರ್ಷದೊಳಗಿನವರಿಗೆ ಕೇಂದ್ರದಿಂದ ತಿಂಗಳಿಗೆ 1800 ರೂ. ,oneindia
23,ಕಠ್ಮಂಡು ಪಬ್‌ನಲ್ಲಿ ರಾಹುಲ್ ಗಾಂಧಿ ಜೊತೆಗಿದ್ದ ಮಹಿಳೆ ಯಾರು? ,oneindia
24, ದ್ವಿಚಕ್ರ ವಾಹನಗಳ ಉತ್ಪಾದನೆ ನಿಲ್ಲಿಸುವಂತೆ EV ತಯಾರಕರಿಗೆ ಕೇಂದ್ರ ಸೂಚನೆ? ,oneindia
25, ಮುಂದಿನ ತಿಂಗಳೇ 143 ವಸ್ತುಗಳ ಮೇಲಿನ ಜಿಎಸ್‌ಟಿ ಏರಿಕೆ ಆಗುತ್ತಾ?,oneindia
26, ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಮೋದಿ ಸರ್ಕಾರದಿಂದ ಉಚಿತ ಲ್ಯಾಪ್‌ಟಾಪ್? ,oneindia
27, 'ಪ್ರಾರ್ಥನೆಗೆ ಅಡ್ಡಿಪಡಿಸಿದ ರೈಲು ಹಾರ್ನ್-ಮುಸ್ಲಿಂ ಗುಂಪಿನಿಂದ ಕಲ್ಲು ತೂರಾಟ',oneindia
28, ಧ್ವನಿವರ್ಧಕ ನಿಷೇಧ,oneindia
29, ಕಾಶ್ಮೀರದಲ್ಲಿ ಕಲ್ಲು ತೂರಾಟದ ಫೋಟೋ ಹೋಲಿಸಿದ್ದು ಈ ಘಟನೆಗೆ ,oneindia
30, 'ಕಚ್ಚಾ ಬಾದಮ್' ಗಾಯಕ ಭುವನ್ ಬಡ್ಯಾಕರ್‌ಗೆ ಭಾರತೀಯ ರೈಲ್ವೆಯಲ್ಲಿ ಕೆಲಸ ,oneindia
31, ಈ ದ್ವೇಷದ ಭಾಷಣ ಜಹಾಂಗೀರ್ಪುರಿ ಹಿಂಸಾಚಾರಕ್ಕೆ ಸಂಬಂಧಿಸಿದ್ದಾ? ,oneindia
32, ಜಹಾಂಗೀರ್‌ಪುರಿ ಹಿಂಸಾಚಾದಲ್ಲಿ ಪೊಲೀಸರ ಮೇಲೆ ಗುಂಪು ಹಲ್ಲೆ ,oneindia
