,news,source,label
0, ಈ ಚಿತ್ರದ ಅಸಲಿಯತ್ತೇನು?,prajavani,0
1, ಆ ಚಿತ್ರ ಪಶ್ಚಿಮ ಬಂಗಾಳದ್ದೋ? ಪಾಕಿಸ್ತಾನದ್ದೋ?,prajavani,0
2,  ಮುಸ್ಲಿಂ ಪ್ರತಿಭಟನಕಾರರಿಂದ ಪೊಲೀಸ್‌ ಅಧಿಕಾರಿಯ ಕೊಲೆ?,prajavani,0
3, ದಾರುಲ್ ಉಲೂಂ ದೇವಬಂದ್ ಹೆಸರಿನಲ್ಲಿ ಫತ್ವಾ,prajavani,0
4,  ಉತ್ತರ ಪ್ರದೇಶದಲ್ಲಿ ನಿರುದ್ಯೋಗ ಸಮಸ್ಯೆ ಕಡಿಮೆಯಾಗಿದೆಯೇ?,prajavani,0
5,  ರಸ್ತೆಯಲ್ಲಿ ವ್ಯಕ್ತಿಯನ್ನು ಹೊಡೆದು ಕೊಲ್ಲುವ ದೃಶ್ಯದ ಸತ್ಯಾಂಶ,prajavani,0
6, ತಮಿಳುನಾಡಿನಲ್ಲಿ ಕಮಲ ಅರಳುತ್ತಿದೆ,prajavani,0
7,ಕುತುಬ್‌ ಮಿನಾರ್‌ ನಿರ್ಮಾಣಗೊಂಡಿದ್ದು ಮುಘಲರ ಕಾಲದಲ್ಲೇ? ಇತಿಹಾಸ ಹೇಳುವುದೇನು?,prajavani,0
8, ವಿಡಿಯೊದ ಅಸಲಿಯತ್ತೇನು?,prajavani,0
9, ವ್ಯಕ್ತಿಯ ಮೈಪೂರ್ತಿ ಜೇನ್ನೊಣಗಳು,prajavani,0
10, ಹಿಂದೂ ದೇವಸ್ಥಾನವನ್ನು ಮಸೀದಿಯನ್ನಾಗಿ ಮಾರ್ಪಾಡು ಮಾಡಿದ್ದು ನಿಜವೇ?,prajavani,0
11,ಜ್ಞಾನವಾಪಿ ಸಮೀಕ್ಷೆ ವಿರೋಧಿಸಿದವರ ಮೇಲೆ ಲಾಠಿ ಪ್ರಹಾರ ನಿಜವೇ?,prajavani,0
12, ದೆಹಲಿ ಸರ್ಕಾರದಿಂದ ಮುಸ್ಲಿಂ ವಿದ್ಯಾರ್ಥಿಗಳ ಶುಲ್ಕ ಪಾವತಿ?,prajavani,0
13," ನಾಗಾ ಸಾಧುವೊಬ್ಬರ ಗಡ್ಡ, ಜಡೆಯನ್ನು ಯುವಕ ಕತ್ತರಿಸಿದ್ದು ನಿಜವೇ?",prajavani,0
14, ನೈನಿತಾಲ್‌ನಲ್ಲಿ ಮುಸ್ಲಿಮರ ಜನಸಂಖ್ಯೆ ಹೆಚ್ಚಳ ನಿಜವೇ?,prajavani,0
15, ಉದ್ದಿಮೆ ಆರಂಭಿಸಲು ಪಿಎಂ ಮುದ್ರಾ ಯೋಜನೆ ಅಡಿ ₹ 10 ಲಕ್ಷ ಸಾಲ?,prajavani,0
16, ಮುಸ್ಲಿಮರ ಓಲೈಕೆಗೆ ಮುಂದಾಯಿತೇ ಮಹಾರಾಷ್ಟ್ರ ಸರ್ಕಾರ?,prajavani,0
17, ವೈರಲ್ ಚಿತ್ರ ನಿಜವೇ?,prajavani,0
18, ರಾಜಸ್ಥಾನದಲ್ಲಿ ಪಾಕಿಸ್ತಾನ ಪರ ಘೋಷಣೆ?,prajavani,0
19, ಅಮೆರಿಕದಲ್ಲಿ ಮುಸ್ಲಿಂ ಮಹಿಳೆಗೆ ಥಳಿತ?,prajavani,0
20, ಅದರ ಹಿಂದಿನ ಸತ್ಯಾಂಶ ಇಲ್ಲಿದೆ,prajavani,0
21, ಕಾಂಗ್ರೆಸ್‌ನ ಚಿಂತನ ಶಿಬಿರದಲ್ಲಿ ಪಾಕಿಸ್ತಾನದ ಧ್ವಜದ ಬಣ್ಣಗಳು?,prajavani,0
22, ದೆಹಲಿಯಲ್ಲಿ ಬಾಂಗ್ಲಾದೇಶದ ರೋಹಿಂಗ್ಯಾಗಳು?,prajavani,0
23, ಗೀತೋಪದೇಶ ಸ್ಥಳದಲ್ಲಿ ಗೋರಿ?,prajavani,0
24, ಬಿಜೆಪಿಯ ಸಭೆಯೊಂದರಲ್ಲಿ ರಾಹುಲ್‌ ದ್ರಾವಿಡ್‌?,prajavani,0
