,news,source,label
0, ವೈರಲ್‌ ಚಿತ್ರದಲ್ಲಿ ಆಟೋ ರಿಕ್ಷಾ ಜತೆ ನಿಂತಿರುವ ವ್ಯಕ್ತಿ ಮಹಾ ಮುಖ್ಯಮಂತ್ರಿ ಏಕನಾಥ್ ಶಿಂಧೆ ಅಲ್ಲ,asianet,0
1,  ಆಸ್ಪತ್ರೆಗೆ ದಾಖಲಾಗಿದ್ದ ಪಂಜಾಬ್ ಸಿಎಂ ಭಗವಂತ್ ಮಾನ್ ಹಳೆಯ ಚಿತ್ರ ಮತ್ತೆ ವೈರಲ್ ,asianet,0
2, ಮಹಾರಾಷ್ಟ್ರದ ಅಂಬೋಲಿ ಜಲಪಾತ ಹೆಸರಲ್ಲಿ ಗುಜರಾತ್ ಜಲಪಾತದ ವಿಡಿಯೋ ವೈರಲ್,asianet,0
3," ದ್ರೌಪದಿ ಮುರ್ಮು ಮೋಹನ್ ಭಾಗವತ್‌ರನ್ನು ಭೇಟಿಯಾಗಿಲ್ಲ, ಎಡಿಟೆಡ್ ಚಿತ್ರ ವೈರಲ್  ",asianet,0
4, ಸಾಯಿಬಾಬಾರಂತೆ ಕಾಣುವ ಪರ್ವತ ಎಂದು ವೈರಲಾಗಿರುವ ಈ ಚಿತ್ರ ಡಿಜಿಟಲ್ ಆರ್ಟ್,asianet,0
5,'ಭಾರತದಲ್ಲಿ ಧಾರ್ಮಿಕ ಸ್ವಾತಂತ್ರ್ಯ' ಬಗ್ಗೆ ಮಾತನಾಡುತ್ತಿರುವ ಕತಾರಿ ಆಂಕರ್ ಎಂದು ವೈರಲಾಗಿರುವ ಚಿತ್ರ ಅಫಘಾನಿಸ್ಥಾನದ್ದು,asianet,0
6," ಇದು ಉತ್ತರ ಪ್ರದೇಶದ್ದಲ್ಲ, ಪಾಕಿಸ್ತಾನದ ಶಾಲೆಯೊಂದರ ಚಿತ್ರ",asianet,0
7, ಕ್ರಿಕೆಟಿಗ ಶಕೀಬ್ ಅಲ್ ಹಸನ್ ನಿರ್ಮಿಸಿದ ಮಸೀದಿ ಹೆಸರಲ್ಲಿ ಉಕ್ರೇನ್ ರೈಲ್ವೆ ನಿಲ್ದಾಣದ ಫೋಟೋ ವೈರಲ್,asianet,0
8," ಬಾಳಾಠಾಕ್ರೆ ತಿಲಕ ಇಡುತ್ತಿರುವುದು ಏಕನಾಥ್ ಶಿಂಧೆಗಲ್ಲ, ಶಿಂಧೆ ಗುರು ಆನಂದ ದಿಘೆಗೆ",asianet,0
9, ಜಾಮಾ ಮಸೀದಿಯ ಗುಮ್ಮಟಕ್ಕೆ ಹಾನಿ? ಇಲ್ಲಿದೆ ವೈರಲ್‌ ಫೋಟೋ ಅಸಲಿಯತ್ತು,asianet,0
10, ಇ.ಡಿ. ಸಮನ್ಸ್‌ ಬೆನ್ನಲ್ಲೇ ಸೋನಿಯಾ ಗಾಂಧಿ ಹಳೆ ವೀಡಿಯೊ ವೈರಲ್,asianet,0
11, ಬಿಜೆಪಿ ಕಚೇರಿಯಿಂದಲೇ 'ಸಾಮ್ರಾಟ್ ಪೃಥ್ವಿರಾಜ್' ಪ್ರಮೋಷನ್? ಅಕ್ಷಯ್-ಶಾ ವೈರಲ್‌ ಫೋಟೋ ಸತ್ಯಾಂಶವೇನು?,asianet,0
12, 'ಗೋ ಬ್ಯಾಕ್‌ ಮೋದಿ' ಎಂದ ತಮಿಳುನಾಡು ಬಿಜೆಪಿ ಶಾಸಕಿ? ಇಲ್ಲಿದೆ ವೈರಲ್‌ ಫೋಟೋ ಅಸಲಿ ಕಹಾನಿ ,asianet,0
13, ಧಾರ್ಮಿಕ ಉಡುಗೆ ತೊಟ್ಟು KSRTC ಬಸ್‌ ಓಡಿಸಿದ ಚಾಲಕ?  ವೈರಲ್‌ ಚಿತ್ರದ ಹಿಂದಿನ ಸತ್ಯವೇನು?‌,asianet,0
14, ಕ್ವಾಡ್ ಶೃಂಗದಲ್ಲಿ ಪ್ರಧಾನಿ ಮೋದಿ ಕಡೆಗಣಿಸಿದ ಜೋ ಬೈಡೆನ್‌? ವೈರಲ್‌ ವಿಡಿಯೋ ಸತ್ಯಾಸತ್ಯತೆ ಏನು?,asianet,0
15, ಕಚ್ಚಾ ಬಾದಾಮ್‌ ಗಾಯಕ ಭುವನ್ ಬಡ್ಯಾಕರ್‌ಗೆ ರೈಲ್ವೆಯಲ್ಲಿ ಮ್ಯಾನೇಜರ್‌ ಕೆಲಸ?,asianet,0
16, ವಾರಾಣಸಿಯ ನಂದಿ ವಿಗ್ರಹ ಎನ್ನಲಾದ ವೈರಲ್‌ ಫೋಟೋ ಮಹಾರಾಷ್ಟ್ರದ್ದು,asianet,0
17,"ಹೈಸ್ಕೂಲ್ ಪಠ್ಯದಲ್ಲಿ ಸಿದ್ಧಾರೂಢರ ಜಾತ್ರೆಯ ವೈಶಿಷ್ಟ್ಯ, ವೈರಲ್ ಸುದ್ದಿ ನಿಜಾವೋ ಸುಳ್ಳೋ..?",asianet,0
18," ಕಾಂಗ್ರೆಸ್ ಚಿಂತನ ಶಿಬಿರದ ಮೇಲ್ಛಾವಣಿಗೆ ಪಾಕಿಸ್ತಾನ ಧ್ವಜದ ಬಣ್ಣ, ಕಾರ್ಪೆಟ್‌ ಮಾತ್ರ ಕೇಸರಿ? ",asianet,0
19, ಬ್ಯಾಂಕ್ ಆಫ್ ಇಂಗ್ಲೆಂಡ್ ಗವರ್ನರಾಗಿ ರಘುರಾಮ್ ರಾಜನ್ ನೇಮಕವಾಗಿಲ್ಲ,asianet,0
20," ಕ್ರಿಕೆಟ್‌ ಆಡಿದ ಪ್ರಧಾನಿ ಮೋದಿ, ನಿಜನಾ ಇದು.?",asianet,0
21," ತಮಿಳುನಾಡಿನಲ್ಲಿ ಮಸೀದಿಗಿಂತ, ದೇವಸ್ಥಾನಗಳಿಗೆ ಹೆಚ್ಚಿನ ವಿದ್ಯುತ್ ದರ ನಿಗದಿ.? ",asianet,0
22, ತಣ್ಣಗಾದ ನಿಂಬೆ ಸಿಪ್ಪೆ ಕ್ಯಾನ್ಸರ್ ಗುಣಪಡಿಸಬಹುದು ಎಂಬುದಕ್ಕೆ ಯಾವುದೇ ವೈಜ್ಞಾನಿಕ ಪುರಾವೆಗಳಿಲ್ಲ,asianet,0
23," ಸ್ವತಂತ್ರ ಭಾರತದ ಮೊದಲ ಇಫ್ತಾರ್ ಪಾರ್ಟಿಯಲ್ಲಿ‌ ನೆಹರು, ಅಂಬೇಡ್ಕರ್? ವೈರಲ್‌ ಫೋಟೊ ಸತ್ಯಾಸತ್ಯತೆ ಏನು?",asianet,0
24, ಪ್ರಧಾನಮಂತ್ರಿ ಕಲ್ಯಾಣ ನಿಧಿಗೆ ಕಾಶ್ಮೀರ ಫೈಲ್ಸ್‌ ತಂಡ ₹200 ಕೋಟಿ ದೇಣಿಗೆ ನೀಡಿದ್ದು ಸುಳ್ಳು   ,asianet,0
25, ಇಂಡಿಯನ್‌ ಆಯಿಲ್‌ನಿಂದ ಗ್ರಾಹಕರಿಗೆ 6 ಸಾವಿರ ರೂ ಮೌಲ್ಯದ ಗಿಫ್ಟ್ ವೋಚರ್,asianet,0
26, ಮರ ಉಳಿಸಲು ರಸ್ತೆ ಪಥವನ್ನೇ ಬದಲಿಸಿದ ಗುತ್ತಿಗೆದಾರ? ವೈರಲ್‌ ಫೋಟೋ ಸತ್ಯಾಸತ್ಯತೆ ಏನು?,asianet,0
27," ಬಿಸಿಲಿನಿಂದ ಸಿಂಹದ ಮರಿ ಕಾಪಾಡಿದ ಆನೆ ಫೋಟೋ ವೈರಲ್, ಅಷ್ಟಕ್ಕೂ ಸತ್ಯವೇನು?",asianet,0
28, ತಡೆಯಾಜ್ಞೆ ವದಂತಿ ನಂಬಬೇಡಿ’,asianet,0
29, ಕರ್ನಾಟಕದ ಮಕ್ಕಳು ಸನಾತನ ಧರ್ಮ ರಕ್ಷಣೆಗೆ ಮುಂದಾಗಿದ್ದಾರೆ ಎಂಬ ವೈರಲ್ ಫೋಟೋ ಉತ್ತರಾಂಚಲದ್ದು,asianet,0
30, ಹಂಬಲ್ ಪೊಲಿಟಿಷಿಯನ್ ನೋಗ್‌ರಾಜ್ ನಟ ಟಿಕು ತಲ್ಸಾನಿಯಾ ಇಸ್ಲಾಂಗೆ ಮತಾಂತರಗೊಂಡಿದ್ದು ಸುಳ್ಳು‌,asianet,0
31, ಚುನಾವಣೆ ಹಿನ್ನೆಲೆ ಮತದಾರರಿಗೆ ಹಣ ಹಂಚುತ್ತಿರುವ ಯುಪಿ ಸಿಎಂ ಯೋಗಿ ಆದಿತ್ಯನಾಥ್?,asianet,0
32, ಹಿಂದುತ್ವ ಸಂದೇಶ ಸಾರಲು ರಷ್ಯಾ ರೈಲುಗಳ ಮೇಲೆ ಶ್ರೀಕೃಷ್ಣ,asianet,0
33," ಕೊರೋನಾ, ವೈರಸ್ ಅಲ್ಲ, ಆಸ್ಪಿರಿನ್‌ ಬಳಸಿ ಚಿಕಿತ್ಸೆ ನೀಡಬಹುದಾದ ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಂಬುದು ಸುಳ್ಳು",asianet,0
34, ಟಿಎಂಸಿಯ ಹಳೆ ಪೋಸ್ಟರ್ ಬಳಸಿ ಉತ್ತರ ಪ್ರದೇಶದಲ್ಲಿ ಕಾಂಗ್ರೆಸ್‌ ಪ್ರಚಾರ,asianet,0
35, NEET PG 2022 Exam ಮುಂದೂಡಲಾಗಿದೆ ಎಂಬ ನೋಟಿಸ್‌ ಫೇಕ್,asianet,0
36, ಭಾರತೀಯ ರೈಲ್ವೇಯ ಆರ್‌ಪಿಎಫ್ ಕಾನ್ಸ್‌ಟೇಬಲ್ ನೇಮಕಾತಿ 2022 ನೋಟೀಸ್ ನಕಲಿ,asianet,0
37,  ನಂದಿನಿ ಹಾಲಿನ ಪ್ಯಾಕೆಟ್‌ಗಳ ಮೇಲೆ ಪುನೀತ್‌ ರಾಜಕುಮಾರ್‌ ಅವರ ಭಾವಚಿತ್ರ.?,asianet,0
38, ಟಿಪ್ ಟಿಪ್ ಬರ್ಸಾ ಪಾನಿ ಸಾಂಗ್‌ಗೆ ಪಾಕ್ MP ಡ್ಯಾನ್ಸ್?,asianet,0
39, ಪಬ್ಲಿಕ್‌ನಲ್ಲೇ ಸುಸ್ಸೂ ಮಾಡಿದರಾ ಶಾರೂಖ್ ಮಗ ? ವಿಡಿಯೋ ವೈರಲ್,asianet,0
40, CRPF 2011 vs 2021,asianet,0
41," ನೀರು ಕುಡಿಯುತ್ತಾ ಫೋನಲ್ಲಿ ಮಾತಾಡಬೇಡಿ, ಸ್ಪೋಟಗೊಂಡೀತು ಜೋಕೆ",asianet,0
42," ತಿರುಪತಿ ದೇವಸ್ಥಾನದ ಪುರೋಹಿತರಿಂದ 128Kg ಚಿನ್ನ, ₹60 ಕೋಟಿ ಮೌಲ್ಯದ ವಜ್ರ ವಶ?",asianet,0
43,  ಜೀಜಾಬಾಯಿ ಭೋಸಲೆ  ಮೃಗಾಲಯದ ಹೆಸರು ಹಜರತ್ ಪೀರ್ ಬಾಬಾ ಎಂದು  ಮರುನಾಮಕರಣ?,asianet,0
